n,input,encoder_staircase,dm_bit,decoder_staircase,decoder_filtered,error
0,201,0,0,0,-4,201
1,201,128,1,-128,-8,73
2,402,256,1,0,-8,146
3,402,384,1,128,-4,18
4,603,512,1,256,4,91
5,603,640,1,384,15,-37
6,803,512,0,512,30,291
7,803,640,1,384,41,163
8,1003,768,1,512,55,235
9,1003,896,1,640,73,107
10,1202,1024,1,768,94,178
11,1202,1152,1,896,119,50
12,1400,1280,1,1024,147,120
13,1400,1408,1,1152,178,-8
14,1598,1280,0,1280,212,318
15,1598,1408,1,1152,241,190
16,1795,1536,1,1280,273,259
17,1795,1664,1,1408,308,131
18,1990,1792,1,1536,346,198
19,1990,1920,1,1664,387,70
20,2185,2048,1,1792,430,137
21,2185,2176,1,1920,476,9
22,2378,2304,1,2048,525,74
23,2378,2432,1,2176,576,-54
24,2569,2304,0,2304,630,265
25,2569,2432,1,2176,678,137
26,2759,2560,1,2304,728,199
27,2759,2688,1,2432,781,71
28,2948,2816,1,2560,836,132
29,2948,2944,1,2688,893,4
30,3135,3072,1,2816,953,63
31,3135,3200,1,2944,1015,-65
32,3319,3072,0,3072,1079,247
33,3319,3200,1,2944,1137,119
34,3502,3328,1,3072,1197,174
35,3502,3456,1,3200,1259,46
36,3683,3584,1,3328,1323,99
37,3683,3712,1,3456,1389,-29
38,3861,3584,0,3584,1457,277
39,3861,3712,1,3456,1519,149
40,4037,3840,1,3584,1583,197
41,4211,3968,1,3712,1649,243
42,4211,4096,1,3840,1717,115
43,4382,4224,1,3968,1787,158
44,4382,4352,1,4096,1859,30
45,4551,4480,1,4224,1932,71
46,4551,4608,1,4352,2007,-57
47,4716,4480,0,4480,2084,236
48,4716,4608,1,4352,2154,108
49,4879,4736,1,4480,2226,143
50,4879,4864,1,4608,2300,15
51,5039,4992,1,4736,2376,47
52,5039,5120,1,4864,2453,-81
53,5196,4992,0,4992,2532,204
54,5196,5120,1,4864,2604,76
55,5350,5248,1,4992,2678,102
56,5350,5376,1,5120,2754,-26
57,5501,5248,0,5248,2831,253
58,5501,5376,1,5120,2902,125
59,5648,5504,1,5248,2975,144
60,5648,5632,1,5376,3050,16
61,5792,5760,1,5504,3126,32
62,5792,5888,1,5632,3204,-96
63,5932,5760,0,5760,3283,172
64,5932,5888,1,5632,3356,44
65,6069,6016,1,5760,3431,53
66,6069,6144,1,5888,3507,-75
67,6202,6016,0,6016,3585,186
